IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.79.210,2,2,0.00,176.27,2.20,SJC
172.64.87.155,2,2,0.00,194.95,1.09,LAX
108.162.198.170,2,2,0.00,188.46,0.57,SJC
172.64.77.197,2,2,0.00,193.72,0.20,LAX
162.159.138.89,2,2,0.00,153.26,0.17,HKG
172.64.156.7,2,2,0.00,192.47,0.15,LAX
162.159.134.95,2,2,0.00,193.52,0.14,HKG
162.159.148.163,2,2,0.00,169.10,0.12,HKG
172.64.149.88,2,2,0.00,194.51,0.11,LAX
162.159.147.172,2,2,0.00,169.02,0.10,HKG
162.159.157.128,2,2,0.00,167.71,0.08,HKG
172.64.185.214,2,2,0.00,186.75,0.08,LAX
162.159.139.131,2,2,0.00,153.54,0.08,HKG
162.159.146.48,2,2,0.00,169.10,0.06,HKG
172.64.93.237,2,2,0.00,193.98,0.05,LAX
172.64.147.74,2,2,0.00,191.47,0.03,LAX
162.159.149.73,2,2,0.00,169.10,0.03,HKG
104.18.19.69,2,1,0.50,219.31,0.00,N/A
172.65.8.164,2,2,0.00,486.95,0.00,N/A
172.64.150.232,2,2,0.00,188.37,0.00,N/A
172.64.152.107,2,2,0.00,187.42,0.00,N/A
162.159.136.92,2,2,0.00,193.78,0.00,N/A
162.159.151.119,2,2,0.00,167.78,0.00,N/A
162.159.155.170,2,2,0.00,167.71,0.00,N/A
162.159.152.113,2,2,0.00,167.31,0.00,N/A
172.64.34.253,2,2,0.00,196.20,0.00,N/A
172.64.76.246,2,2,0.00,196.25,0.00,N/A
190.93.247.72,2,2,0.00,196.35,0.00,N/A
172.64.184.66,2,2,0.00,196.37,0.00,N/A
172.64.68.241,2,2,0.00,197.28,0.00,N/A
104.17.158.205,2,2,0.00,197.40,0.00,N/A
172.64.84.155,2,2,0.00,197.53,0.00,N/A
104.17.159.205,2,2,0.00,197.77,0.00,N/A
172.64.89.219,2,2,0.00,197.79,0.00,N/A
172.64.88.103,2,2,0.00,197.92,0.00,N/A
172.64.47.72,2,2,0.00,197.94,0.00,N/A
172.64.81.7,2,2,0.00,198.70,0.00,N/A
172.64.94.93,2,2,0.00,198.72,0.00,N/A
172.64.42.52,2,2,0.00,198.76,0.00,N/A
172.64.32.137,2,2,0.00,198.89,0.00,N/A
172.64.100.51,2,2,0.00,199.23,0.00,N/A
172.64.86.34,2,2,0.00,199.59,0.00,N/A
104.21.19.238,2,2,0.00,199.62,0.00,N/A
172.64.49.147,2,2,0.00,200.22,0.00,N/A
172.64.35.202,2,2,0.00,200.23,0.00,N/A
172.64.144.55,2,2,0.00,200.30,0.00,N/A
172.64.69.73,2,2,0.00,200.48,0.00,N/A
172.64.53.160,2,2,0.00,200.49,0.00,N/A
173.245.49.205,2,2,0.00,201.17,0.00,N/A
162.159.128.53,2,2,0.00,201.21,0.00,N/A
162.159.26.42,2,2,0.00,201.24,0.00,N/A
104.21.0.44,2,2,0.00,201.65,0.00,N/A
172.64.82.35,2,2,0.00,202.15,0.00,N/A
172.64.188.144,2,2,0.00,202.23,0.00,N/A
172.64.33.161,2,2,0.00,202.48,0.00,N/A
172.64.96.50,2,2,0.00,202.63,0.00,N/A
172.64.90.199,2,2,0.00,202.65,0.00,N/A
172.64.190.15,2,2,0.00,203.05,0.00,N/A
172.64.72.167,2,2,0.00,203.31,0.00,N/A
104.19.139.179,2,2,0.00,203.61,0.00,N/A
104.19.150.49,2,2,0.00,203.87,0.00,N/A
172.64.92.34,2,2,0.00,204.12,0.00,N/A
104.19.133.91,2,2,0.00,204.21,0.00,N/A
172.64.176.230,2,2,0.00,204.40,0.00,N/A
104.17.157.56,2,2,0.00,204.51,0.00,N/A
104.17.153.146,2,2,0.00,204.89,0.00,N/A
104.17.154.143,2,2,0.00,204.89,0.00,N/A
104.17.155.89,2,2,0.00,204.89,0.00,N/A
104.17.156.196,2,2,0.00,205.01,0.00,N/A
172.64.80.210,2,2,0.00,205.19,0.00,N/A
172.64.83.80,2,2,0.00,205.19,0.00,N/A
104.17.151.4,2,2,0.00,205.76,0.00,N/A
104.17.147.16,2,2,0.00,206.31,0.00,N/A
104.19.144.126,2,2,0.00,206.43,0.00,N/A
104.17.150.5,2,2,0.00,206.44,0.00,N/A
104.17.148.203,2,2,0.00,206.44,0.00,N/A
104.17.145.138,2,2,0.00,206.44,0.00,N/A
172.64.41.183,2,2,0.00,206.50,0.00,N/A
104.17.144.246,2,2,0.00,206.56,0.00,N/A
172.64.74.87,2,2,0.00,206.71,0.00,N/A
104.17.149.57,2,2,0.00,206.81,0.00,N/A
104.17.146.254,2,2,0.00,206.81,0.00,N/A
172.64.151.41,2,2,0.00,206.89,0.00,N/A
104.19.125.153,2,2,0.00,207.03,0.00,N/A
104.17.143.213,2,2,0.00,207.07,0.00,N/A
172.64.98.11,2,2,0.00,207.26,0.00,N/A
172.64.146.224,2,2,0.00,207.28,0.00,N/A
162.159.56.217,2,2,0.00,207.49,0.00,N/A
162.159.61.224,2,2,0.00,207.55,0.00,N/A
104.19.11.71,2,2,0.00,207.56,0.00,N/A
104.19.14.99,2,2,0.00,207.56,0.00,N/A
172.64.67.71,2,2,0.00,207.66,0.00,N/A
172.64.187.140,2,2,0.00,207.78,0.00,N/A
162.159.57.215,2,2,0.00,207.81,0.00,N/A
104.19.24.199,2,2,0.00,207.99,0.00,N/A
104.16.107.160,2,2,0.00,208.03,0.00,N/A
172.64.155.159,2,2,0.00,208.03,0.00,N/A
104.16.95.203,2,2,0.00,208.28,0.00,N/A
104.16.97.158,2,2,0.00,208.28,0.00,N/A
104.18.78.248,2,2,0.00,208.32,0.00,N/A
162.159.49.110,2,2,0.00,208.33,0.00,N/A
172.64.75.79,2,2,0.00,208.49,0.00,N/A
104.16.14.1,2,2,0.00,208.78,0.00,N/A
104.16.92.248,2,2,0.00,208.78,0.00,N/A
104.16.89.120,2,2,0.00,208.78,0.00,N/A
104.18.72.14,2,2,0.00,209.10,0.00,N/A
172.64.85.243,2,2,0.00,209.34,0.00,N/A
104.16.21.146,2,2,0.00,209.49,0.00,N/A
104.17.142.160,2,2,0.00,209.63,0.00,N/A
162.159.44.161,2,2,0.00,209.64,0.00,N/A
162.159.43.182,2,2,0.00,209.64,0.00,N/A
172.64.189.18,2,2,0.00,209.87,0.00,N/A
162.159.42.249,2,2,0.00,209.89,0.00,N/A
162.159.25.117,2,2,0.00,210.10,0.00,N/A
104.18.69.10,2,2,0.00,210.13,0.00,N/A
172.64.52.198,2,2,0.00,210.51,0.00,N/A
172.64.46.152,2,2,0.00,210.97,0.00,N/A
172.64.157.132,2,2,0.00,211.18,0.00,N/A
162.159.51.232,2,2,0.00,211.42,0.00,N/A
162.159.36.106,2,2,0.00,211.78,0.00,N/A
162.159.46.84,2,2,0.00,211.96,0.00,N/A
162.159.45.194,2,2,0.00,211.96,0.00,N/A
104.19.18.93,2,2,0.00,211.99,0.00,N/A
162.159.62.179,2,2,0.00,212.24,0.00,N/A
104.19.20.137,2,2,0.00,212.36,0.00,N/A
104.19.16.161,2,2,0.00,212.59,0.00,N/A
104.19.13.9,2,2,0.00,212.70,0.00,N/A
104.19.15.87,2,2,0.00,212.70,0.00,N/A
172.64.95.243,2,2,0.00,212.91,0.00,N/A
172.64.50.215,2,2,0.00,213.07,0.00,N/A
172.64.153.55,2,2,0.00,213.12,0.00,N/A
162.159.40.118,2,2,0.00,213.24,0.00,N/A
172.67.183.143,2,2,0.00,213.76,0.00,N/A
172.64.91.42,2,2,0.00,214.26,0.00,N/A
172.64.145.232,2,2,0.00,215.09,0.00,N/A
104.16.90.151,2,2,0.00,215.20,0.00,N/A
172.64.37.17,2,2,0.00,215.30,0.00,N/A
104.16.115.122,2,2,0.00,215.56,0.00,N/A
162.159.48.217,2,2,0.00,215.83,0.00,N/A
104.16.18.20,2,2,0.00,216.23,0.00,N/A
172.65.56.220,2,2,0.00,216.33,0.00,N/A
104.21.1.121,2,2,0.00,216.61,0.00,N/A
104.16.20.249,2,2,0.00,217.48,0.00,N/A
172.65.66.84,2,2,0.00,217.92,0.00,N/A
104.16.15.100,2,2,0.00,217.99,0.00,N/A
172.65.65.104,2,2,0.00,218.19,0.00,N/A
104.19.82.166,2,2,0.00,218.38,0.00,N/A
104.16.80.104,2,2,0.00,218.50,0.00,N/A
104.19.63.241,2,2,0.00,218.91,0.00,N/A
104.16.96.30,2,2,0.00,219.09,0.00,N/A
104.16.22.250,2,2,0.00,219.27,0.00,N/A
162.159.228.33,2,2,0.00,219.43,0.00,N/A
162.159.251.221,2,2,0.00,219.58,0.00,N/A
162.159.245.174,2,2,0.00,219.58,0.00,N/A
172.64.48.28,2,2,0.00,219.97,0.00,N/A
162.159.224.173,2,2,0.00,220.44,0.00,N/A
162.159.239.80,2,2,0.00,220.47,0.00,N/A
104.16.105.152,2,2,0.00,220.61,0.00,N/A
172.64.36.243,2,2,0.00,220.77,0.00,N/A
162.159.207.15,2,2,0.00,220.99,0.00,N/A
162.159.24.184,2,2,0.00,221.05,0.00,N/A
104.19.78.127,2,2,0.00,221.07,0.00,N/A
104.19.65.17,2,2,0.00,221.18,0.00,N/A
162.159.197.114,2,2,0.00,221.54,0.00,N/A
162.159.199.122,2,2,0.00,221.54,0.00,N/A
162.159.195.70,2,2,0.00,221.54,0.00,N/A
162.159.196.33,2,2,0.00,221.54,0.00,N/A
172.65.63.17,2,2,0.00,221.60,0.00,N/A
198.41.207.23,2,2,0.00,221.61,0.00,N/A
162.159.205.86,2,2,0.00,221.83,0.00,N/A
198.41.209.138,2,2,0.00,221.86,0.00,N/A
198.41.206.102,2,2,0.00,221.86,0.00,N/A
104.19.62.106,2,2,0.00,222.11,0.00,N/A
198.41.200.139,2,2,0.00,222.12,0.00,N/A
198.41.219.214,2,2,0.00,222.12,0.00,N/A
198.41.199.86,2,2,0.00,222.12,0.00,N/A
162.159.254.244,2,2,0.00,222.52,0.00,N/A
172.64.40.182,2,2,0.00,222.53,0.00,N/A
198.41.216.245,2,2,0.00,222.57,0.00,N/A
104.19.71.142,2,2,0.00,222.64,0.00,N/A
162.159.58.117,2,2,0.00,222.80,0.00,N/A
198.41.211.197,2,2,0.00,222.82,0.00,N/A
198.41.194.87,2,2,0.00,222.82,0.00,N/A
104.16.13.226,2,2,0.00,223.25,0.00,N/A
