IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.141.158,2,2,0.00,136.68,1.40,HKG
162.159.129.59,2,2,0.00,136.12,0.69,HKG
162.159.135.83,2,2,0.00,134.72,0.24,HKG
162.159.128.168,2,2,0.00,133.47,0.13,HKG
172.67.77.104,2,2,0.00,134.59,0.12,HKG
172.67.73.84,2,2,0.00,136.73,0.09,HKG
162.159.146.69,2,2,0.00,133.49,0.07,HKG
104.19.236.44,2,1,0.50,207.32,0.00,N/A
104.19.243.217,2,1,0.50,231.27,0.00,N/A
172.65.226.123,2,2,0.00,135.17,0.00,N/A
162.159.155.200,2,2,0.00,137.07,0.00,N/A
172.67.64.248,2,2,0.00,137.21,0.00,N/A
162.159.159.229,2,2,0.00,137.32,0.00,N/A
104.20.30.198,2,2,0.00,137.70,0.00,N/A
162.159.154.232,2,2,0.00,137.98,0.00,N/A
172.65.236.226,2,2,0.00,138.29,0.00,N/A
172.65.227.215,2,2,0.00,138.50,0.00,N/A
162.159.156.131,2,2,0.00,139.38,0.00,N/A
172.65.232.65,2,2,0.00,139.41,0.00,N/A
172.65.231.36,2,2,0.00,139.59,0.00,N/A
172.65.225.206,2,2,0.00,140.01,0.00,N/A
162.159.134.198,2,2,0.00,140.62,0.00,N/A
172.65.237.167,2,2,0.00,142.24,0.00,N/A
172.67.74.85,2,2,0.00,142.50,0.00,N/A
172.65.228.122,2,2,0.00,142.89,0.00,N/A
162.159.160.199,2,2,0.00,159.68,0.00,N/A
104.17.154.37,2,2,0.00,180.14,0.00,N/A
104.20.37.110,2,2,0.00,185.96,0.00,N/A
162.159.58.223,2,2,0.00,187.50,0.00,N/A
172.64.79.215,2,2,0.00,187.87,0.00,N/A
172.67.135.143,2,2,0.00,189.35,0.00,N/A
172.66.142.72,2,2,0.00,189.57,0.00,N/A
104.20.40.189,2,2,0.00,190.02,0.00,N/A
104.20.41.17,2,2,0.00,190.07,0.00,N/A
172.66.140.46,2,2,0.00,190.22,0.00,N/A
172.64.40.195,2,2,0.00,190.91,0.00,N/A
172.64.37.99,2,2,0.00,191.87,0.00,N/A
